Method,MAP,MRR,Avg Query Time (s),Index Time (s),P@1,R@1,NDCG@1,P@5,R@5,NDCG@5,P@10,R@10,NDCG@10
Doc2Vec,0.25277777777777777,0.4916666666666667,0.0013956546783447266,0.0,0.4,0.13333333333333333,0.17142857142857143,0.16,0.26666666666666666,0.2060839330744328,0.12000000000000002,0.4,0.26084134745240806
TF-IDF,0.11666666666666665,0.35,0.0011082172393798828,0.2209930419921875,0.2,0.06666666666666667,0.2,0.12000000000000002,0.2,0.20163787242924633,0.06000000000000001,0.2,0.20163787242924633
BM25,0.06666666666666667,0.2,0.00020613670349121094,0.053566694259643555,0.0,0.0,0.0,0.12000000000000002,0.2,0.13725459382014732,0.06000000000000001,0.2,0.13725459382014732
